Time,Velocity,
3.29,-255.665
3.3,255.665
3.31,-255.665
3.32,255.665
3.33,-255.665
3.34,255.665
3.35,-255.665
3.36,255.665
3.37,-255.665
3.38,255.665
3.39,-255.665
3.4,255.665
3.41,-255.665
3.42,255.665
3.43,-255.665
3.44,255.665
3.45,-255.665
3.46,255.665
3.47,-255.665
3.48,255.665
3.49,-255.665
3.5,255.665
3.51,-255.665
3.52,255.665
3.53,-255.665
3.54,255.665
3.55,-255.665
3.56,255.665
3.57,-255.665
3.58,255.665
3.59,-255.665
3.6,255.665
3.61,-255.665
3.62,255.665
3.63,-255.665
3.64,255.665
3.65,-255.665
3.66,255.665
3.67,-255.665
3.68,255.665
3.69,-255.665
3.7,255.665
3.71,-255.665
3.72,255.665
3.73,-255.665
3.74,255.665
3.75,-255.665
3.76,255.665
3.77,-255.665
3.78,255.665
3.79,-255.665
3.8,255.665
3.81,-255.665
3.82,255.665
3.83,-255.665
3.84,255.665
3.85,-255.665
3.86,255.665
3.87,-255.665
3.88,255.665
3.89,-255.665
3.9,255.665
3.91,-255.665
3.92,255.665
3.93,-255.665
3.94,255.665
3.95,-255.665
3.96,255.665
3.97,-255.665
3.98,255.665
3.99,-255.665
4,255.665
4.01,-255.665
4.02,255.665
4.03,-255.665
4.04,255.665
4.05,-255.665
4.06,255.665
4.07,-255.665
4.08,255.665
4.09,-255.665
4.1,255.665
4.11,-255.665
4.12,255.665
4.13,-255.665
4.14,255.665
4.15,-255.665
4.16,255.665
4.17,-255.665
4.18,255.665
4.19,-255.665
4.2,255.665
4.21,-255.665
4.22,255.665
4.23,-255.665
4.24,255.665
4.25,-255.665
4.26,255.665
4.27,-255.665
4.28,255.665
4.29,-255.665
4.3,255.665
4.31,-255.665
4.32,255.665
4.33,-255.665
4.34,255.665
4.35,-255.665
4.36,255.665
4.37,-255.665
4.38,255.665
4.39,-255.665
4.4,255.665
4.41,-255.665
4.42,255.665
4.43,-255.665
4.44,255.665
4.45,-255.665
4.46,255.665
4.47,-255.665
4.48,255.665
4.49,-255.665
4.5,255.665
4.51,-255.665
4.52,255.665
4.53,-255.665
4.54,255.665
4.55,-255.665
4.56,255.665
4.57,-255.665
4.58,255.665
4.59,-255.665
4.6,255.665
4.61,-255.665
4.62,255.665
4.63,-255.665
4.64,255.665
4.65,-255.665
4.66,255.665
4.67,-255.665
4.68,255.665
4.69,-255.665
4.7,255.665
4.71,-255.665
4.72,255.665
4.73,-255.665
4.74,255.665
4.75,-255.665
4.76,255.665
4.77,-255.665
4.78,255.665
4.79,-255.665
4.8,255.665
4.81,-255.665
4.82,255.665
4.83,-255.665
4.84,255.665
4.85,-255.665
4.86,255.665
4.87,-255.665
4.88,255.665
4.89,-255.665
4.9,255.665
4.91,-255.665
4.92,255.665
4.93,-255.665
4.94,255.665
